,equiv_word,target_word,confidence,pair_cts,item_cts
0,pkg,packing,0.9740634005763689,338,347
1,blkt,blanket,0.9819277108433735,163,166
2,blt,bolt,1.0,54,54
3,insulatn,insulation,0.94,47,50
4,gde,guide,1.0,71,71
5,brkt,bracket,0.9911190053285968,8370,8445
6,man,manifold,1.0,34,34
7,manf,manifold,0.9745318352059925,1301,1335
8,flng,flange,1.0,29,29
9,shrd,shroud,0.9345088161209067,371,397
10,shld,shield,0.9754098360655737,119,122
11,rng,ring,0.9285714285714286,13,14
12,cmp,comp,1.0,8,8
13,pmp,pump,1.0,7,7
14,rtnr,retainer,0.916058394160584,251,274
15,sprt,support,0.9669260700389105,497,514
16,hsg,housing,0.9533169533169533,388,407
17,brg,bearing,0.9010654490106544,592,657
18,gskt,gasket,0.9784172661870504,136,139
19,actr,actuator,0.9298245614035088,53,57
20,bkt,bracket,0.998046875,511,512
21,deflectr,deflector,1.0,5,5
22,adptr,adapter,0.9783549783549783,226,231
23,snsr,sensor,0.9565217391304348,66,69
24,cont,control,0.9957983193277311,237,238
25,sea,seal,1.0,5,5
26,bshg,bushing,1.0,198,198
27,blket,blanket,0.9,9,10
28,chan,channel,1.0,16,16
29,connect,connector,1.0,9,9
30,clp,clamp,0.9680851063829787,182,188
31,pyl,pylon,1.0,6,6
32,cntrl,control,1.0,66,66
33,slv,sleeve,0.9553571428571429,107,112
34,fair,fairing,0.9953051643192489,212,213
35,spcr,spacer,0.9545454545454546,168,176
36,fxtr,fixture,0.9900497512437811,398,402
37,flg,flange,0.9097744360902256,121,133
38,sec,sector,1.0,11,11
39,clmp,clamp,1.0,16,16
40,grshft,gearshaft,1.0,36,36
41,wshr,washer,0.9583333333333334,46,48
42,bld,blade,0.936046511627907,322,344
43,dftr,deflector,1.0,36,36
44,hgr,hanger,1.0,37,37
45,cov,cover,1.0,80,80
46,exctr,exciter,1.0,6,6
47,lkg,locking,0.9230769230769231,48,52
48,dblr,doubler,1.0,53,53
49,hnycmb,honeycomb,1.0,8,8
50,baf,baffle,1.0,25,25
51,brckt,bracket,0.9701492537313433,65,67
52,nzl,nozzle,1.0,25,25
53,scr,screw,1.0,16,16
54,manfld,manifold,1.0,14,14
55,mfld,manifold,1.0,64,64
56,panl,panel,1.0,11,11
57,whiffletre,whiffletree,1.0,6,6
58,brackt,bracket,1.0,10,10
59,platf,platform,0.9166666666666666,11,12
60,ctrl,control,1.0,30,30
61,vlv,valve,0.9285714285714286,26,28
62,distrbtr,distributor,1.0,9,9
63,assy-stg2,assembly-stg2,1.0,11,11
64,elb,elbow,1.0,10,10
